memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,warm,False,53909,1.076266,1159172,65375,
256,warm,False,55857,1.219753,1314633,69885,
256,warm,False,48392,1.338764,1433182,56951,
256,warm,False,40249,1.164043,1235723,48103,
256,warm,False,49892,1.270291,1411116,104729,
256,warm,False,51690,0.996381,1082279,60069,
256,warm,False,64481,1.128058,1284264,137297,
256,warm,False,56857,1.186293,1474210,68520,
256,warm,False,161629,1.12344,1328786,169587,
256,warm,False,834594,1.103275,1968655,845738,
256,warm,False,42043,1.273675,1373812,63569,
256,warm,False,47704,1.229906,1300619,54076,
256,warm,False,51260,1.354338,1432341,58250,
256,warm,False,53071,1.250598,1358799,63610,
256,warm,False,51598,1.197302,1277632,57981,
256,warm,False,151140,1.315367,1499049,162280,
256,warm,False,66224,1.213362,1319740,75412,
256,warm,False,57784,1.261945,1350116,68211,
256,warm,False,49213,1.020723,1116739,60042,
256,warm,False,45146,1.327347,1398554,53885,
256,warm,False,47284,1.306985,1415585,80627,
256,warm,False,54317,1.070805,1162313,60127,
256,warm,False,44000,1.186331,1267417,56768,
256,warm,False,53360,1.239836,1324466,59545,
256,warm,False,50067,1.352268,1556202,178833,
256,warm,False,50275,1.197998,1274665,59024,
256,warm,False,54293,1.125541,1231307,67218,
256,warm,False,55856,1.093222,1191713,63738,
256,warm,False,156565,1.308978,1502707,167764,
256,warm,False,59058,1.222632,1338044,76335,
256,warm,False,151587,1.27219,1465326,161858,
256,warm,False,58738,1.101178,1192779,67105,
256,warm,False,116288,1.257683,1406598,128736,
256,warm,False,155007,1.347383,1543398,166252,
256,warm,False,45780,1.376856,1483572,53112,
256,warm,False,193878,1.233607,1454978,200282,
256,warm,False,48026,1.263422,1349279,62870,
256,warm,False,53693,1.089041,1200229,70175,
256,warm,False,151582,1.512924,1740458,202688,
256,warm,False,39015,1.181609,1473144,49840,
256,warm,False,51239,0.998283,1092385,57463,
256,warm,False,44804,1.312009,1402031,55191,
256,warm,False,61349,1.398849,1514805,83644,
256,warm,False,60962,1.263359,1416656,136749,
256,warm,False,55112,1.021101,1120492,74034,
256,warm,False,56527,1.203157,1316944,67372,
256,warm,False,62269,1.283397,1387430,79308,
256,warm,False,89405,1.119618,1255032,110935,
256,warm,False,162354,1.366833,2343047,958403,
256,warm,False,55196,0.97336,1067868,68893,
256,warm,False,47262,1.213256,1290450,54400,
256,warm,False,55825,1.075753,1178382,68075,
256,warm,False,47070,1.295962,1373473,52293,
256,warm,False,50355,1.079084,1190403,62974,
256,warm,False,54652,1.13322,1230857,70937,
256,warm,False,47015,1.153331,1318720,130599,
256,warm,False,48679,1.197602,1635249,208142,
256,warm,False,61396,1.045095,1159817,69904,
256,warm,False,59003,1.201495,1295210,66145,
256,warm,False,52995,1.413484,1514960,74523,
256,warm,False,58631,1.334906,1422253,64313,
256,warm,False,1052479,1.189145,2279299,1062868,
256,warm,False,67547,1.271886,1391332,77804,
256,warm,False,56130,1.329622,1434797,66988,
256,warm,False,51713,0.905838,989225,60111,
256,warm,False,82244,1.189239,1307686,95160,
256,warm,False,50544,1.241177,1385286,111961,
256,warm,False,61389,1.391573,11458073,10033783,
256,warm,False,53826,1.046361,1127000,62489,
256,warm,False,55848,1.08748,1176429,63175,
256,warm,False,152487,1.34895,1668489,276085,
256,warm,False,53882,1.245533,1365205,94987,
256,warm,False,58693,1.301315,1416275,86860,
256,warm,False,84979,1.147914,1272155,93548,
256,warm,False,50699,1.426953,1515104,70904,
256,warm,False,156884,1.080012,1257818,161807,
256,warm,False,47446,1.285536,1401630,57283,
256,warm,False,44617,1.422571,1494470,54031,
256,warm,False,43646,1.139634,1213291,55964,
256,warm,False,50350,1.106341,1190998,63439,
256,warm,False,47816,1.242937,1320437,55625,
256,warm,False,79596,1.067878,1202392,93953,
256,warm,False,74147,1.098525,1229944,91747,
256,warm,False,58409,1.064968,1162424,76488,
256,warm,False,55765,1.206397,1303165,66605,
256,warm,False,42868,1.136886,1211734,48246,
256,warm,False,58524,0.971814,1088057,66481,
256,warm,False,835079,1.283945,2157529,842603,
256,warm,False,61656,1.212218,1319879,77257,
256,warm,False,50407,1.212417,1308937,62188,
256,warm,False,47315,1.066866,1162037,59612,
256,warm,False,58730,1.078459,1171979,63680,
256,warm,False,53530,1.238799,1328543,64825,
256,warm,False,81285,1.174455,1293304,89762,
256,warm,False,41250,1.453307,1534466,56094,
256,warm,False,55790,1.07629,1166927,65816,
256,warm,False,44697,1.389609,1519037,107738,
256,warm,False,43430,1.265558,1356665,52843,
256,warm,False,50328,1.155096,1247588,60780,
256,warm,False,51686,1.265533,1406754,108574,
256,warm,False,57541,1.196345,1303622,69244,
256,warm,False,68437,1.309049,1430351,94219,
256,warm,False,54819,1.353592,1454210,69911,
256,warm,False,163696,1.149228,1360560,177930,
256,warm,False,149671,1.156701,1570351,159254,
256,warm,False,58054,0.944694,1054037,71861,
256,warm,False,92198,1.443535,1583168,110746,
256,warm,False,50974,1.136165,1217454,63863,
256,warm,False,49016,0.884817,970370,62933,
256,warm,False,154610,1.175685,1651819,218732,
256,warm,False,58262,1.395055,1487203,71917,
256,warm,False,51297,1.054954,1150258,57481,
256,warm,False,44143,1.247027,1370380,98521,
256,warm,False,47787,1.286957,1386613,70115,
256,warm,False,56007,1.281339,1372580,66854,
256,warm,False,54803,1.333097,1429409,64587,
256,warm,False,1087938,1.464415,2619429,1130751,
256,warm,False,49080,1.47186,1553040,56100,
256,warm,False,50359,1.306949,1404290,67379,
256,warm,False,67477,1.19434,1291203,73771,
256,warm,False,49335,1.280101,1355749,57257,
256,warm,False,57304,0.944771,1035489,66717,
256,warm,False,75546,1.246926,1361867,82428,
256,warm,False,49406,1.189095,1289406,64423,
256,warm,False,1042960,1.181442,2271787,1048633,
256,warm,False,53325,1.318053,1412508,66975,
256,warm,False,60503,1.191716,1286593,67417,
256,warm,False,69607,1.218676,1341268,84936,
256,warm,False,61121,1.014618,1107819,75630,
256,warm,False,839296,1.402096,2398041,957743,
256,warm,False,47734,1.161844,1317698,126632,
256,warm,False,59901,1.290805,1390749,72573,
256,warm,False,55738,1.222853,1357970,114447,
256,warm,False,45842,1.354092,1434408,55232,
256,warm,False,56730,1.043092,1127127,66257,
256,warm,False,47265,1.141913,1258128,85764,
256,warm,False,58221,1.092198,1188877,68477,
256,warm,False,55759,1.093733,1182811,69568,
